Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
0800,5524,5524,66722,52958,0.91,5009,64930,55579,0.14,762,-4289,-2448,5524,68991,54988,5524,2244,872,0.07,382,56170,18742,0.06,343,42645,8664,0.83,4586,18805,11482,7620,79163,10415
0810,21829,21829,67005,56041,0.86,18780,68785,60860,0.19,4046,-2953,-2018,21829,69367,57944,21829,2314,930,0.10,2109,71495,23155,0.09,1966,48056,10369,0.80,17476,19081,12974,25127,124784,42753
0812,10939,10939,64868,57528,0.86,9423,67299,62088,0.18,2004,-3215,-2606,10939,66926,59275,10939,2012,884,0.08,831,68176,26782,0.07,797,47087,12428,0.81,8861,17288,12930,12871,134775,56541
0820,13584,13584,75869,62002,0.87,11837,73521,65029,0.21,2787,-2412,-1712,13584,78644,64496,13584,2715,1010,0.09,1163,72598,18674,0.08,1092,47434,9523,0.84,11348,22306,14481,16107,147419,44258
0822,6949,6949,48833,37359,0.86,5967,48704,38162,0.09,643,-2034,-1155,6949,50114,37995,6949,1201,180,0.04,306,99237,30320,0.04,294,78143,14742,0.67,4684,13105,7794,9888,53437,8276
0828,826,826,79747,59928,0.84,697,68599,61847,0.19,157,1142,-23,826,82410,62579,826,2313,792,0.09,78,179528,45492,0.09,74,169768,30713,0.82,678,25333,13983,1017,113859,39279
0829,366,366,60747,62089,0.94,343,61912,65608,0.07,24,-3401,-2496,366,63059,64998,366,2312,1658,0.03,11,116636,20330,0.03,11,86691,10235,0.90,330,12781,11726,413,72584,26463
0830,11089,11089,66193,59868,0.89,9908,68457,63902,0.16,1741,-4840,-3738,11089,68404,62042,11089,2170,995,0.06,688,77050,30447,0.06,671,55453,14785,0.83,9193,17339,13496,12858,104154,48960
0832,11392,11392,68390,64293,0.93,10564,71313,67879,0.14,1620,-5234,-3722,11392,70860,66803,11392,2432,1291,0.06,690,61728,22030,0.06,659,43052,12074,0.86,9797,17431,14120,12338,95200,50723
0835,2852,2852,73228,62722,0.84,2387,74975,68475,0.25,702,-5805,-3644,2852,75746,64925,2852,2443,920,0.10,291,100152,41036,0.10,289,74026,20841,0.81,2317,21415,15553,3278,172734,90668
0836,4964,4964,70836,62070,0.85,4235,73849,67195,0.21,1029,-4156,-2933,4964,73234,64016,4964,2258,894,0.09,463,92033,42670,0.09,448,68029,21777,0.82,4086,19967,14811,5753,133003,77442
0837,479,479,62538,50811,0.75,360,65542,58547,0.17,82,-1930,-985,479,64725,52684,479,2068,574,0.11,55,87906,39910,0.12,56,57892,16890,0.76,365,17306,11815,585,110499,50452
